;;Тема - астрологические созвездия;
;30;"Восьмерка жезлов
К достижению поставленной вами цели нужно подходить очень основательно. Заранее продумайте каждый шаг, подготовьтесь к любым последствиям. Сконцентрируйтесь на результате, все свои ресурсы направьте в одном направлении и только после этого приступайте к действиям. Но приступив к работе, не медлите и не рассуждайте – действуйте быстро и уверенно.
";30_vosg.jpg
;31;"Девятка жезлов
Сейчас самое время позаботиться о самозащите. Это касается как безопасности вашего жилища, так и убеждений. Опасность может исходить, откуда угодно, даже изнутри – это неуверенность в себе, сомнения, недоверие к самым близким людям. Возможно, вам стоит на некоторое время «лечь на дно», пока ситуация не прояснится. Укрепите свои слабые стороны, ибо они обязательно подвергнутся нападению.
";31_dg.jpg
;32;"Десятка жезлов
Вы сторонитесь ответственности, из-за чего не можете достигнуть приемлемого результата. Пришла пора пересмотреть свое отношение к обязанностям и приступить к работе. Конечно, такая ноша вам покажется вначале непосильной, но смирившись и проявив дисциплину, и терпение вы достигнете значительных изменений в своей жизни. Рядом всегда есть люди, готовые помочь – не замыкайтесь в себе.
";32_desg.jpg
;33;"Рыцарь жезлов
Вы знаете человека, который благодаря своей неуемной энергии постоянно оказывается в гуще событий? Если да, то следуйте за ним, сейчас вам по пути: вам нужно также окунуться в бурную деятельность чтобы отвлечься от груза забот. Если же нет, - станьте им сами! Застой в делах и в личных отношениях расшевелите активными действиями и страстью. Отправьтесь навстречу приключениям и развлечениям.
";33_rd.jpg
;34;"Королева жезлов
Сегодня вам предстоит проявить не только уверенность в себе, но и страсть, интуицию и чувственность. Без этих совсем неделовых черт характера вам не добиться успеха в делах. Деловой хватки и профессионализма будет мало. Дома же уделите внимание себе: займитесь активным отдыхом, приведите себя в порядок. Это лучший способ победить депрессию и добиться существенных результатов в любом деле.
";34_kg.jpg
;35;"Король жезлов
В сложившейся ситуации нужно проявить лучшие лидерские качества: энтузиазм, справедливость, умение вести переговоры и договариваться. Рискуйте, но совершив ошибку, умейте ее признать и быстро исправить. Сегодня вы добьетесь любых целей, даже самых смелых. Для успеха заручитесь поддержкой творческого человека. А вот надменность и эгоизм будут иметь катастрофические последствия.
";35_kg.jpg
;36;"Паж жезлов
Никогда не поздно начать учиться, чтобы лучше познать окружающий мир. Шанс для этого можно найти повсюду. Начните с повышения квалификации, далее попробуйте что-нибудь новенькое. Возможно, вы давно хотели заняться творчеством или рукоделием. Вначале это будет развлечением, но неизвестно, чем обернется в итоге. В любом случае, вам стоит чем-то разнообразить свою жизнь.
";36_pg.jpg
;37;"Туз кубков
Даже если отношения с окружающими не являются для вас важным элементом жизни, настало время заняться и этим. Чтобы достичь гармонии и счастья, придется раскрыться чувствам и эмоциям, от которых вы прятались последние годы. Это особенно актуально, если речь идет о воспитании детей – начните с себя. Откройтесь навстречу другим людям и увидите массу новых возможностей.
";37_tk.jpg
;38;"Двойка кубков
Вы по-настоящему счастливый человек!  Вашей жизни есть (или очень скоро появится) действительно близкий по духу человек. И не важно, друг это или любимый. Главное, вовремя его (или ее) почувствовать и не упустить. Вместе вы горы свернете, так что не бойтесь открыться навстречу друг другу. Сотрудничайте и общайтесь с новыми людьми – это принесет вам полезные знакомства.
";38_dk.jpg
;39;"Тройка кубков
Скоро у вас появится повод светиться от счастья и это событие обязательно нужно отпраздновать. Поделитесь радостью с окружающими - это позволит найти новых друзей, расширить кругозор и усилить положительные эмоции в несколько раз. Организуйте торжественное мероприятие. Это возможность для всех хоть на время отвлечься от рутины и зарядиться энергией.
";39_tk.jpg
;40;"Четверка кубков
Обида может возникнуть по любому поводу. Практически каждый из нас полон мелкими и крупными обидами, которые не дают полноценно наслаждать жизнью. Но избавиться от них очень сложно. Отвлекитесь, переключите внимание, иначе пропустите самое важное. Если вас раздражает все вокруг, то пора что-то менять: либо свое окружение, либо свое отношение к нему.
";40_chk.jpg
;41;"Пятерка кубков
Вы слишком переживаете и расстраиваетесь из-за постигших вас неудач, и это не дает вам увидеть то хорошее, что еще осталось в жизни. Конечно, потери всегда удручают, но разочарование отнимает у нас все. Оглянитесь вокруг, вам есть еще, на что надеяться и кого любить. Хватит ныть, займитесь работой. Это даст время на восстановление душевных сил и поиск новых радостей.
";41_pk.jpg
;42;"Шестерка кубков
В вашей жизни скоро наступит период безмятежности и спокойствия. Вы никуда не спешите и ни о чем не жалеете. Может быть, это и не счастье, но очень близкое к нему состояние. Окунитесь в прошлое, поразмыслите, начните писать мемуары… Главное – не суетитесь, иначе сделаете только хуже. Везде должен царить покой: в семье, на работе, в доме. Время для активных действий еще настанет.
";42_shk.jpg
;43;"Семерка кубков
Мир фантазий манит вас своим разнообразием и доступностью. Но это самообман. Пытаясь убежать от проблем в иллюзию, вы провоцируете возникновение новых проблем: от разного рода зависимостей до психологических недугов. Снимите розовые очки и вернитесь в реальность. Она гораздо лучше и интереснее, чем вы думали. Сосредоточьтесь на реальных целях и следуйте за ними. И жизнь постепенно наладится.
";43_smk.jpg
;44;"Восьмерка кубков
Если вы чувствуете, что в жизни наступил застой или вы двигаетесь не в том направлении, то пора покинуть привычную зону комфорта и отправиться на поиски собственного пути. Перемены произойдут, даже если вы совсем не желаете менять образ жизни, поэтому лучше подготовиться. Возможно, вам придется расстаться с милой сердцу мелочью или полностью изменить сферу деятельности. Это зависит от вашей силы воли.
";44_vk.jpg
;45;"Девятка кубков
Вас ждет настоящее изобилие и исполнение заветных желаний. Хватит суетиться, остановитесь и насладитесь заслуженными плодами своей деятельности. Будьте гостеприимным хозяином дома или заведения и ваша удача приумножится. Единственное предостережение: не увлекайтесь банкетами, знайте меру, иначе праздник может перерасти в тяжелое похмелье с неприятным подсчетом убытков.
";45_dk.jpg
;46;"Десятка кубков
Вам необходимо уделять больше внимания семье и родственникам. У каждого из них тоже есть потребности и желания, они вас любят и всегда готовы помочь. Вашей благодарностью будет любовь и забота. Все члены семьи должны работать на ее благо, тогда каждый будет чувствовать себя более защищенным и сильным. Соберите всех вместе и устройте веселый праздник, чтобы «и млад, и стар» почувствовали себя нужными.
";46_dk.jpg
;47;"Рыцарь кубков
Вам не хватает чувственных и эротических переживаний, от чего вы чувствуете в себе подавленность и нереализованный потенциал. Если у вас в данный момент нет сердечной привязанности, необходимо чаще выходить в люди, знакомиться, общаться, заводить новых друзей. Это может и не привести к глубокому любовному чувству, но избавит вас от душевного одиночества и на время снимет напряжение.
";47_rk.jpg
;48;"Королева кубков
Вы обладаете очень редкими и полезными качествами – обаянием и способностью понимать потребности других. За это вас ценят и любят родные и близкие. Если же нет – значит, вы сознательно стараетесь быть черствым и безжалостным, думая, что только так добьетесь уважения и почитания. Но этот путь вам не свойственен. Прислушайтесь к своему сердцу и доверьтесь чувствам. Они вас не обманут.
";48_kk.jpg
;49;"Король кубков
Лидер не обязательно должен быть жестким и бескомпромиссным. Ваша отзывчивость и мудрость в решении бытовых вопросов также могут пригодиться. Воспользуйтесь ими в профессиональной деятельности, перенаправьте свою энергию на окружающих и вас ждет небывалый успех. Люди будут тянуться к вам за поддержкой и пониманием – выслушайте их. Сочувствие и доброта – ваш ключ к уважению и доверию в семье и на работе.
";49_kk.jpg
;50;"Паж кубков
Боясь оказаться уязвимым, вы отказываете себе в радости общения, дружбы и любви. Так ваше сердце превратиться в бесплодную пустыню. Нельзя зацикливаться на прошлых (и тем более чужих) разочарованиях. Все могут сделать ошибку, но жизнь продолжается и в ней еще много прекрасного. Откройтесь новым чувствам, мечтайте и действуйте. Вас ждут приятные переживания.
";50_pk.jpg
;51;"Туз пентаклей
«Золото притягивает золото» - это значит для вас, что для получения материальной отдачи от работы, нужно больше инвестировать в выгодные проекты. Начните с себя: станьте профессионалом своего дела, запишитесь на бизнес-курсы и т.д. Вложите в свою работу энергию и эмоции, тогда вы гораздо быстрее получите отдачу. Материальное благополучие приходит к тем, кто на этом постоянно концентрируется.
";51_tp.jpg
;52;"Двойка пентаклей
Если вы сейчас испытываете некоторые трудности в материальной сфере, значит, в вашей жизни нарушен баланс в распределении собственных ресурсов. Это время и энергия: вы неправильно распределяете задачи, тратя слишком много времени на решение мелких вопросов. Другой крайностью является неправильное распределение внимания между своими и общественными нуждами.
";52_dp.jpg
;53;"Тройка пентаклей
Вы работаете без отдыха, но денег больше не становится? – Добавьте в повседневную рутину немного новых идей. Только так вы сможете сдвинуться с мертвой точки. Даже если ваша скучная работа никак не способствует творческим порывам или вы не блещете какими-либо талантами, начните с простейшего, вложите в результат душу, и награда не заставит себя долго ждать.
";53_tp.jpg
;54;"Четверка пентаклей
Сейчас вам необходимо все силы и ресурсы сконцентрировать на достижении материального благополучия, возможно даже проявить эгоизм. Не стоит давать взаймы, лучше вложите свободные деньги в обеспечение достойной старости. Позаботьтесь о своем будущем, приобретении материальных ценностей. Но не переусердствуйте, иначе останетесь в одиночестве в золотой клетке.
";54_chp.jpg
;55;"Пятерка пентаклей
Вас ждет период испытаний: если вы вели себя мудро и стабильно откладывали часть денег на будущее, то сейчас они вам придутся очень кстати. Если же нет, то для вас настанет сложное время. Учитесь правильному распределению доходов, умерьте расходы и увеличьте сбережения. Сейчас не время для рискованных авантюр и новых проектов. Главное – сохранить имеющееся достояние.
";55_pp.jpg
;56;"Шестерка пентаклей
Всему свое время. Вы были бережливым хозяином, благодаря чему наслаждаетесь процветанием. Сейчас же нужно проявить щедрость и открытость. Прислушайтесь к нуждам окружающих. Возможно, кроме доброго слова им необходима и вполне реальная материальная помощь. Но не теряйте здравый смысл, иначе скоро уже вам придется просить милостыню. Помогите лишь тем, кто действительно не сможет обойтись без вас.
";56_shp.jpg
;57;"Семерка пентаклей
Чтобы добиться того, чего вы так желаете, придется усердно потрудиться. Не стоит рассчитывать на везение или мистическую помощь – все нужно сделать самому. Четко обозначьте цель, продумайте план и закатайте рукава для работы. Без спешки и суеты, своевременно и терпеливо идите к цели, но не ждите быстрого результата. Но ваш честный труд обязательно принесет материальное благополучие в будущем.
";57_sp.jpg
;58;"Восьмерка пентаклей
Если ваша денежная машина стала давать сбои, то необходимо пересмотреть или заменить некоторые ее детали. Приведите в порядок свои дела, проанализируйте ситуацию. Возможно, ваши знания в какой-то области устарели. Старайтесь всегда быть в курсе всех новинок, улучшений, изменений в законодательстве. Правильная организация времени и ресурсов – ключевой момент для вас сейчас.
";58_vp.jpg
;59;"Девятка пентаклей
Совсем скоро вы достигнете такого состояния, при котором ваши финансовые и эмоциональные желания будут полностью удовлетворены. Материальное положение охарактеризуется надежностью, а в социальной сфере вас ждет уважение и признание. Все это следствие упорного труда и мудрого управления ресурсами. Это дает вам право отдохнуть и насладиться плодами успеха.
";59_dp.jpg
;60;"Десятка пентаклей
В ближайшем времени вам придется столкнуться с вопросами наследства или распределения семейного бюджета. На вас ляжет ответственность за сохранение и приумножение накоплений всей семьи. Как бы вам не хотелось проявить себя, прислушайтесь к советам старших родственников. Объедините свои усилия, укрепите полезные семейные традиции – это обеспечит вашему роду процветание.
";60_dp.jpg
;61;"Рыцарь пентаклей
Вам придется запастись терпением и приготовится к длительному и упорному труду. Но он будет для вас в радость, так как принесен не только материальную отдачу, но и моральное удовлетворение. Проявите активность на работе, готовность выполнить любую работу и ваши старания обязательно заметят и оценят. Не ждите, пока успех сам придет к вам в руки, действуйте.
";61_rp.jpg
;62;"Королева пентаклей
Если вы до сих пор не занимались благотворительностью, то сейчас самое время начать. Сначала позаботьтесь о благополучии родных, окружите их заботой и лаской, подарите что-нибудь красивое. Приносите пользу и семье, и обществу. Проведите благотворительную акцию или просто уделите внимание и материальную помощь тем, кто в этом нуждается. Будьте щедрым, тактичным и добрым.
";62_kp.jpg
;63;"Король пентаклей
Вскоре вам предстоит проявить себя в роли сильного и прагматичного лидера, который знает свое дело и обязательно добьется результата. На вас будут рассчитывать все вокруг: родные, сослуживцы, партнеры… Не стремитесь все сделать сами, возьмите несколько толковых помощников. Вы уже обладаете необходимыми качествами, проявите их: организованность, настойчивость, ответственность.
";63_kp.jpg
;64;"Паж пентаклей
Вы стремитесь обрести вес в обществе, что вам вполне по силам. Но для этого нужно потрудиться: учитесь быть на виду, работайте над своими недостатками, развивайте качества лидера. Постепенно заводите полезные знакомства, поддерживайте имидж человека, на которого можно положиться. Не рискуйте напрасно и не начинайте дело, пока не будете полностью готовы к его ведению.
";64_pp.jpg
;65;"Туз мечей
Вы сможете, наконец, решить вопрос, мучивший вас на протяжении долгого времени. На вас снизойдет озарение: «Вот оно!» и решение встанет перед вашим внутренним взором. Как только это произойдет, не теряйте времени и действуйте. Будьте решительны и неумолимы, не стойте на месте, избавьтесь от прошлых неудач и смело идите вперед, иначе упустите свой шанс.
";65_tm.jpg
;66;"Двойка мечей
Сейчас для вас наступил период сомнений и недоверия. Подвергайте тщательной проверке любое свое решение и каждое предложение извне. Ожидайте подвоха, не доверяйте никому. Рассматривайте ситуацию со всех возможных сторон, анализируйте и перепроверяйте. «Доверяй, но проверяй». Лучше отложите принятие важных решений на несколько дней, тогда правильный выбор станет очевиден.
";66_tm.jpg
;67;"Тройка мечей
Вас ожидает весьма неприятное известие. Оно может относиться как к личным переживаниям, как и к профессиональной деятельности. Как бы ни хотелось этого избежать, вам это не удастся. Примите неизбежное с честью и сделайте то, что должны, иначе неприятности будут накапливаться, как снежный ком. Это как поход к зубному: неприятно, но необходимо. Примите сложное решение сейчас.
";67_tm.jpg
;68;"Четверка мечей
Над вами нависла опасность, которую вы сами спровоцировали. И устранить ее вы тоже можете самостоятельно, если поторопитесь. Вы так истощили себя, что организм может дать сбой очень скоро. Это беспричинные переживания, работа без отдыха и пр. Выкиньте из головы навязчивую идею, возьмите выходной, смените обстановку. Сейчас лучше отойти на время от дел, ваша активность не принесет пользы.
";68_tm.jpg
;69;"Пятерка мечей
Возникшая перед вами проблема не терпит промедления и сомнений. Если вы не решите ее сейчас, то она будет возвращаться снова и снова. Боритесь, даже если не верите в успех. Завтра будет новый день, который принесет облегчение. Но сегодня нужно приложить все усилия. Остерегайтесь ввязываться в сомнительные авантюры, которые принесут только негативные последствия.
";69_pm.jpg
;70;"Шестерка мечей
Вы стоите на пороге новых открытий, больших перемен в жизни: смена места жительства или работы, путешествие или новые отношения. Они пугают вас неопределенностью, но без этого невозможно дальнейшее развитие. Вас ждет увлекательное путешествие в новый для вас мир. Главное, не бойтесь и сделайте шаг вперед, осмотритесь. Возможно, вам здесь понравится.
";70_shm.jpg
;71;"Семерка мечей
Вы встали на скользкий путь самообмана. Хотя, существует вероятность, что это вас хотят надуть или обокрасть. Поэтому, тщательнее анализируйте все, что вам говорят, и о чем вы сами думаете. Внимательно читайте условия договоров, поинтересуйтесь, с кем вы имеете дело. Позаботьтесь о сохранении своих ценностей. Возможно, для этого самому придется схитрить.
";71_sm.jpg
;72;"Восьмерка мечей
В ближайшие дни вам придется туго. Обстоятельства повернутся так, что вы окажетесь в совершенно безвыходном, на ваш взгляд, положении. Куда бы вы ни обращались, повсюду натыкаетесь на отказ и неприятие. Все, что вам остается, это взять себя в руки и пройти этот этап как можно скорее. Вынесите урок из ситуации и постарайтесь выбрать другой, более достойный путь в жизни.
";72_vm.jpg
;73;"Девятка мечей
Вы в отчаянии. Это настолько тяжелое чувство, что вы чувствуете себя героем кошмарного сна. Но не зацикливайтесь на своих страхах, а постарайтесь как можно скорее выйти из этого состояния. Для этого могут понадобиться все силы, моральные и физические. Покайтесь в своих ошибках, это облегчит душевные страдания. Физические муки придется перетерпеть.
";73_dm.jpg
;74;"Десятка мечей
Если вы чувствуете, что жизнь развивается совсем не по тому сценарию, который вы себе составили ранее, то настало время проанализировать ситуацию и подвести итоги. Скорее всего, что-то пошло совсем не так, и продолжать надеяться на лучшее не имеет смысла. Безжалостно расставайтесь с неудачными проектами, вам сразу же станет легче. Но не переусердствуйте в порыве гнева.
";74_dm.jpg
;75;"Рыцарь мечей
Оказавшись на пороге конфликта, постарайтесь сохранить спокойствие и самоконтроль. Не поддавайтесь на провокации, но и не давайте себя в обиду. Если избежать конфликта все же не удалось, держитесь уверенно и смело. Не выходите из себя, иначе вы проиграете, и отношения в коллективе будут испорчены надолго. Решительный отпор быстро охладит пыл противника.
";75_rm.jpg
;76;"Королева мечей
Если вас гнетет какая-либо несправедливость, то сейчас лучшее время, чтобы побороться за свою независимость и отстоять собственное мнение. Речь может идти как о бытовой мелочи, так и об отстаивании своих прав в суде. У вас появился реальный шанс изменить что-то в своей жизни. Воспользуйтесь им мудро. Прислушайтесь к советам компетентной незаинтересованной стороны.
";76_km.jpg
;77;"Король мечей
У вас появился шанс выиграть давно затянувшийся спор, но для этого нужно проявить максимум выдержки и концентрации. Самостоятельно вы едва ли справитесь, поэтому заручитесь поддержкой влиятельных людей. Хотя бы проконсультируйтесь. Совет со стороны необходим, но не перекладывайте всю ответственность на чужие плечи. Отвечать все равно придется вам.
";77_km.jpg
;78;"Паж мечей
Будьте бдительны и внимательны к окружающим. Вы можете услышать немало критики в свой адрес и должны смиренно ее выслушать. Даже если она покажется вам необоснованной или обидной, постарайтесь понять, чем вызваны такие слова в ваш адрес. Возможно, вы не идеальны и нужно поработать над собой. Смирите свое негодование и прислушайтесь к советам. Со стороны виднее.
";78_pm.jpg
;;Тема - игральные карты;
;1;"Джокер
Джокер – мастер перевоплощений, и он может с лёгкостью притворится любой личностью, которая ему понравится. Джокер не терпит, когда им помыкают, он несколько высокомерен, очень эмоциональный и изобретательный, независимый. Творческая карта, которая способствует развитию актёрских, писательских, музыкальных способностей. Опасайтесь обмана.
";1_qw.jpg
;2;"Туз пик
Подразумевает, что необходимо быть осторожным, когда дело доходит до юридических вопросов. Стоит остерегаться неудач и рискованных ситуаций, в которых можно получить серьёзные повреждения. Не доверяйте людям, в которых не уверены, не вкладывайте деньги в ненадёжные предприятия. Возможна пылкая любовь и неожиданное получение денег.
";2_qw.jpg
;3;"Король пик
Символизирует собой человека, занимающего высокую должность, но при этом зловредного и опасного, который может причинить неприятности, но ограничен собственным же статусом. Такая карта свидетельствует о том, что в будущем вам встретиться почётный человек, чьё расположение следует заслужить – иначе вас и семью ждёт неприятность. 
";3_qw.jpg
;4;"Дама пик
Дама пик – падкая на лесть, романтичная и целеустремленная особа. Она хитра и коварна, но при этом дружелюбна к окружающим. Если предать её однажды – то она потеряет всякое доверие к окружающим. Встреча с такой особой может послужить причиной размолвки в семейных делах, поэтому стоит быть осторожным. 
";4_qw.jpg
;5;"Валет пик
Неприятный человек, лицемер, который внешне может быть очень милым и обходительным, но доверять ему не стоит. Если получится, можно попытаться стать ему другом, но особенно на это рассчитывать не стоит: слишком он любит критиковать и шпионить, чтобы после рассказывать остальным. Стоит быть аккуратней в выборе друзей и союзников. 
";5_qw.jpg
;6;"Бубновый туз
Бубновый туз говорит о том, что скоро придёт какое-то приятное сообщение, но стоит тщательно всё взвесить, чтобы определиться, необходимо ли принимать предложение или нет. Письмо скорее всего будет любовным, и ситуация обернётся в хорошую сторону, но возможны и исключения. Лучше всё перепроверить. 
";6_qw.jpg
;7;"Король бубен
Влиятельный человек с огромным потенциалом самолюбия. Он может оказаться отличным союзником, так как обладает богатым опытом или состоит на государственной службе. Эта карта не опасна. Такой человек, даже задумав сделать неприятность, споткнётся о собственные же шнурки. Такая карта свидетельствует о том, что ситуация изменится к лучшему либо при помощи ваших собственных сил, либо благодаря поддержке извне. 
";7_qw.jpg
;8;"Дама бубен
Невежественная неприятная дама, устраивающая сцены и скандалы. Она любит сплетни, но при этом жуткая кокетка. Если выпадает эта карта, то можно ожидать неожиданных неприятных гостей или даже совершение кражи прямо из дома или на улице. Будьте осторожны и не доверяйте тем, кто вызывает у вас сомнения.
";8_qw.jpg
;9;"Валет бубен
Если такой человек занимает высокое положение, то доверять ему всё равно не стоит: скорее всего, он достиг его при помощи лести, взяток и обмана. Редкостный мошенник и настоящий мерзавец. Такая карта свидетельствует о том, что в будущем ждёт неприятная встреча, возможно, измена или предательство хорошего друга. Будьте осмотрительны. 
";9_qw.jpg
;10;"Туз треф
Хорошая карта, которая символизирует успех, счастье, богатство и радость. В скором времени придут письма, которые могут оказаться как приятным любовным сообщением, так и юридическими документами о продвижении по службе. Если заключать браки – то сейчас, если заводить роман – то лучше времени не найти. Период нежной любви, свиданий, дохода от предприятий. 
";10_qw.jpg
;11;"Король треф
Это отличный друг и компаньон, щедрый и надёжный. В браке всё будет отлично: такая карта свидетельствует о том, что вы сделали правильный выбор в плане супруга. Может появится покровитель или неожиданно исполнится желание. Плохая примета, если такая карта вообще не попадает во время гадания. 
";11_qw.jpg
;12;"Дама треф 
Чувствительная и романтичная натура, склонная к длительным разговорами и доле актёрства. Она восторженная и крайне эмоциональная. Но если причинить такой боль – она запомнит и будет долго и методично мстить. Нужно быть острожным в любовных делах и при необходимости обратиться за помощью к какой-нибудь давней подруге за помощью. 
";12_qw.jpg
;13;"Валет треф
Хорошая примета, если он выпадает в гадании первым. Это безобидная натура, которая не доставит проблем, если не выводить её из себя. Предприимчив и энергичен, обладает хорошим интеллектом. Он может льстить, но это самое большое преступление такого человека. Если выпала такая карта, можно ждать успеха в денежных делах, но беспокойного будущего, где может быть либо неожиданное счастье, либо мелкое разочарование. 
";13_qw.jpg
;14;"Туз червей
Символизирует успешный брак, полную удовлетворенность людьми, которые окружают – даже коллегами на работе. Если выпадает такая карта, то она свидетельствует о скорой любви, неожиданных гостях. Возможны резкие перемены в жизни, переезд. Придёт приятное любовное письмо, вас пригласят на свидание. 
";14_qw.jpg
;15;"Король червей
Справедливая и великодушная особа, отличный друг и советчик, который в любой момент может прийти на помощь. Занимает высокое положение. Сильно полагаться на него не стоит, так как он может и забыть о своих обещаниях. Такая карта свидетельствует о скором обогащении и успехе, но сопровождаться он будет хлопотами и неприятностями. 
";15_qw.jpg
